Product Name,Unit,Unit Value
Avarampoo (herbal)  Soap (f2b) 100 Gm,1,PS
Natural Face Wash Charcoal,1,PS
Coco & Coffee Soap,1,PS
Sandal Soap,1,PS
Appricot Scrub,1,PS
Vitamin E Oil,1,PS
Foxtail (thinai) Venpongal Mix,1,PS
Bengal Gram (kadalai Maavu) (unploished),1,PS
Black Urad Dhal Porridge (karupu Ulundhu Kanji) Mix,1,PS
Almond Oil,1,PS
Ragi Chocolate Malt,1,PS
Sesame (ellu Maavu) Dosai Mix,1,PS
Idiyappam Flour,1,PS
Fox Tail Flour (thinai Maavu),1,PS
Manjistha  (herbal) Soap (f2b) 100 Gm,1,PS
Saffron Gel (herbal),1,PS
Wheat Flour (kothumai Maavu),1,PS
Facial Powder,1,PS
F2b Health Mix  (satthu Maavu),1,PS
Sprouted Wheat  Flour (mulaikattiya Kothumai Maavu),1,PS
Papaya Soap,1,PS
